,question,content,category,question_changed,content_changed,category_changed,catalog
0,"я сменил автомобить, на учет еще не поставил, могу ли я заправляться по топливной карте?","для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,"я сменил автомобить, на учет еще не поставил, могу ли я заправляться по топливной карте?","для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,документы
1,не отображается автомобиль в личном кабинете.,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,не отображается автомобиль в личном кабинете.,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,документы
2,добавить автомобиль,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,добавить автомобиль,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,документы
3,хочу внести данные об автомобиле,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,хочу внести данные об автомобиле,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,документы
4,как внести данные об автомобиле?,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,как внести данные об автомобиле?,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,документы
5,мне нужно внести данные об автомобиле,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,мне нужно внести данные об автомобиле,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,документы
6,внести машину,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,внести машину,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,документы
7,"при смене автомобиля, который используется в служебных целях, как изменить марку и госномер авто в личном кабинете?","для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,"при смене автомобиля, который используется в служебных целях, как изменить марку и госномер авто в личном кабинете?","для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение.",автомобиль,документы
8,"будет ли оплачен больничный, если он открыт в другой стране?",сотруднику следует обратиться в мед. организацию (по месту прописки) с данными документами для выдачи больничного листа российского образца. оплата больничного листа возможна только на основании листа нетрудоспособности российского образца.,бир,"будет ли оплачен больничный, если он открыт в другой стране?",сотруднику следует обратиться в мед. организацию (по месту прописки) с данными документами для выдачи больничного листа российского образца. оплата больничного листа возможна только на основании листа нетрудоспособности российского образца.,беременность и роды,здоровье
9,как оформить больничный по беременности и родам,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете https://company-x5.ru или приложении ""моя работа"" в разделе ""декрет"", ""администрирование отпуска бир"".",бир,как оформить больничный по беременности и родам,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете https://company-x5.ru или приложении ""моя работа"" в разделе ""декрет"", ""администрирование отпуска бир"".",беременность и роды,здоровье
